iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"2,253,097,627.19"
Shares Outstanding,"18,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CBG","CBRE GROUP INC CLASS A","Equity","0.27","46.75","130,064.00","6,080,492.00","6,080,492.00","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.26","49.18","121,664.00","5,983,435.52","5,983,435.52","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.26","18.56","319,391.00","5,927,896.96","5,927,896.96","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","0.26","49.33","119,236.00","5,881,911.88","5,881,911.88","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"IVZ","INVESCO LTD","Equity","0.25","32.54","175,762.00","5,719,295.48","5,719,295.48","Financials","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"GGP","GGP INC","Equity","0.25","21.17","269,593.00","5,707,283.81","5,707,283.81","Real Estate","BYMYV82","US36174X1019","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.25","248.98","22,713.00","5,655,082.74","5,655,082.74","Financials","2808053","US78486Q1013","NASDAQ"
"MSCI","MSCI INC","Equity","0.24","141.52","38,826.00","5,494,655.52","5,494,655.52","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"CBOE","CBOE GLOBAL MARKETS INC","Equity","0.24","112.01","49,003.00","5,488,826.03","5,488,826.03","Financials","B5834C5","US12503M1080","NASDAQ"
"BEN","FRANKLIN RESOURCES INC","Equity","0.24","38.67","141,211.00","5,460,629.37","5,460,629.37","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.24","69.11","77,943.00","5,386,640.73","5,386,640.73","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"ALLY","ALLY FINANCIAL INC","Equity","0.23","27.90","191,859.00","5,352,866.10","5,352,866.10","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
