iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 28, 2018"
Total Net Assets,"1,864,132,820.73"
Shares Outstanding,"15,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"VNO","VORNADO REALTY TRUST REIT TRUST","Equity","0.24","73.00","60,862.00","4,442,926.00","4,442,926.00","Real Estate","2933632","US9290421091","New York Stock Exchange Inc."
"HCP","HCP REIT INC","Equity","0.23","26.32","165,892.00","4,366,277.44","4,366,277.44","Real Estate","2417578","US40414L1098","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.23","10.23","424,846.00","4,346,174.58","4,346,174.58","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"RJF","RAYMOND JAMES INC","Equity","0.23","92.05","46,417.00","4,272,684.85","4,272,684.85","Financials","2718992","US7547301090","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.23","29.81","143,064.00","4,264,737.84","4,264,737.84","Financials","2740542","BMG0450A1053","NASDAQ"
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.22","76.81","53,398.00","4,101,500.38","4,101,500.38","Financials","2196888","US1720621010","NASDAQ"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.22","100.18","40,181.00","4,025,332.58","4,025,332.58","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"ALLY","ALLY FINANCIAL INC","Equity","0.21","26.45","149,216.00","3,946,763.20","3,946,763.20","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","0.21","86.64","44,753.00","3,877,399.92","3,877,399.92","Real Estate","B02HWR9","US30225T1025","New York Stock Exchange Inc."
"REG","REGENCY CENTERS REIT CORP","Equity","0.21","64.67","59,933.00","3,875,867.11","3,875,867.11","Real Estate","2726177","US7588491032","New York Stock Exchange Inc."
"UDR","UDR REIT INC","Equity","0.20","40.43","94,103.00","3,804,584.29","3,804,584.29","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.20","39.35","96,647.00","3,803,059.45","3,803,059.45","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
"CBOE","CBOE GLOBAL MARKETS INC","Equity","0.20","95.96","39,470.00","3,787,541.20","3,787,541.20","Financials","B5834C5","US12503M1080","Cboe BZX formerly known as BATS"
"DRE","DUKE REALTY REIT CORP","Equity","0.19","28.37","125,604.00","3,563,385.48","3,563,385.48","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"IRM","IRON MOUNTAIN INC","Equity","0.19","34.52","101,197.00","3,493,320.44","3,493,320.44","Real Estate","BVFTF03","US46284V1017","New York Stock Exchange Inc."
"NDAQ","NASDAQ INC","Equity","0.19","85.80","40,648.00","3,487,598.40","3,487,598.40","Financials","2965107","US6311031081","NASDAQ"
"ZION","ZIONS BANCORPORATION","Equity","0.18","50.15","68,742.00","3,447,411.30","3,447,411.30","Financials","2989828","US9897011071","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.18","652.53","5,272.00","3,440,138.16","3,440,138.16","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"IVZ","INVESCO LTD","Equity","0.18","22.88","145,047.00","3,318,675.36","3,318,675.36","Financials","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.18","228.47","14,471.00","3,306,189.37","3,306,189.37","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.18","126.47","26,008.00","3,289,231.76","3,289,231.76","Real Estate","2333931","US3137472060","New York Stock Exchange Inc."
"BEN","FRANKLIN RESOURCES INC","Equity","0.18","30.41","107,892.00","3,280,995.72","3,280,995.72","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.17","144.56","22,470.00","3,248,263.20","3,248,263.20","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","0.17","86.69","36,667.00","3,178,662.23","3,178,662.23","Financials","2896713","US8910271043","New York Stock Exchange Inc."
