iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"2,170,510,233.38"
Shares Outstanding,"17,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AMTD","TD AMERITRADE HOLDING CORP","Equity","0.28","55.79","109,945.00","6,133,831.55","6,133,831.55","Financials","2983154","US87236Y1082","NASDAQ"
"O","REALTY INCOME REIT CORP","Equity","0.27","53.19","113,826.00","6,054,404.94","6,054,404.94","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"IVZ","INVESCO LTD","Equity","0.27","36.13","164,424.00","5,940,639.12","5,940,639.12","Financials","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"GGP","GGP INC","Equity","0.26","23.03","252,258.00","5,809,501.74","5,809,501.74","Real Estate","BYMYV82","US36174X1019","New York Stock Exchange Inc."
"ETFC","E TRADE FINANCIAL CORP","Equity","0.26","52.70","109,389.00","5,764,800.30","5,764,800.30","Financials","2299011","US2692464017","NASDAQ"
"L","LOEWS CORP","Equity","0.26","51.65","111,548.00","5,761,454.20","5,761,454.20","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"FRC","FIRST REPUBLIC BANK","Equity","0.26","89.55","63,754.00","5,709,170.70","5,709,170.70","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"BEN","FRANKLIN RESOURCES INC","Equity","0.25","42.41","132,073.00","5,601,215.93","5,601,215.93","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"CBG","CBRE GROUP INC CLASS A","Equity","0.25","45.69","122,152.00","5,581,124.88","5,581,124.88","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
"ALLY","ALLY FINANCIAL INC","Equity","0.24","29.77","179,436.00","5,341,809.72","5,341,809.72","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.24","246.55","21,333.00","5,259,651.15","5,259,651.15","Financials","2808053","US78486Q1013","NASDAQ"
"MSCI","MSCI INC","Equity","0.23","139.23","36,457.00","5,075,908.11","5,075,908.11","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.23","129.70","38,741.00","5,024,707.70","5,024,707.70","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
"RJF","RAYMOND JAMES INC","Equity","0.23","96.39","52,014.00","5,013,629.46","5,013,629.46","Financials","2718992","US7547301090","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.23","68.32","73,205.00","5,001,365.60","5,001,365.60","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"VNO","VORNADO REALTY TRUST REIT TRUST","Equity","0.23","71.68","69,764.00","5,000,683.52","5,000,683.52","Real Estate","2933632","US9290421091","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.22","10.54","468,889.00","4,942,090.06","4,942,090.06","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"UNM","UNUM","Equity","0.22","53.19","90,788.00","4,829,013.72","4,829,013.72","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.22","90.94","53,002.00","4,820,001.88","4,820,001.88","Financials","2740542","BMG0450A1053","NASDAQ"
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.21","76.90","60,499.00","4,652,373.10","4,652,373.10","Financials","2196888","US1720621010","NASDAQ"
"HCP","HCP REIT INC","Equity","0.21","24.08","189,948.00","4,573,947.84","4,573,947.84","Real Estate","2417578","US40414L1098","New York Stock Exchange Inc."
"AMG","AFFILIATED MANAGERS GROUP INC","Equity","0.20","199.63","22,507.00","4,493,072.41","4,493,072.41","Financials","2127899","US0082521081","New York Stock Exchange Inc."
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.20","95.37","46,048.00","4,391,597.76","4,391,597.76","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"ZION","ZIONS BANCORPORATION","Equity","0.20","54.03","80,958.00","4,374,160.74","4,374,160.74","Financials","2989828","US9897011071","NASDAQ"
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.19","38.98","110,506.00","4,307,523.88","4,307,523.88","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
