iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 30, 2019"
Total Net Assets,"1,775,589,195.78"
Shares Outstanding,"14,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AMTD","TD AMERITRADE HOLDING CORP","Equity","0.26","52.58","84,303.00","4,432,651.74","4,432,651.74","Financials","2983154","US87236Y1082","NASDAQ"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.26","10.09","438,152.00","4,420,953.68","4,420,953.68","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","0.26","51.29","85,724.00","4,396,783.96","4,396,783.96","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","0.25","66.72","63,926.00","4,265,142.72","4,265,142.72","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.25","33.78","125,956.00","4,254,793.68","4,254,793.68","Financials","2740542","BMG0450A1053","NASDAQ"
"SIVB","SVB FINANCIAL GROUP","Equity","0.25","251.72","16,746.00","4,215,303.12","4,215,303.12","Financials","2808053","US78486Q1013","NASDAQ"
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","0.24","103.69","39,842.00","4,131,216.98","4,131,216.98","Real Estate","B02HWR9","US30225T1025","New York Stock Exchange Inc."
"CMA","COMERICA INC","Equity","0.24","78.59","51,142.00","4,019,249.78","4,019,249.78","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"WPC","W. P. CAREY REIT INC","Equity","0.24","79.32","50,415.00","3,998,917.80","3,998,917.80","Real Estate","B826YT8","US92936U1097","New York Stock Exchange Inc."
"ETFC","E TRADE FINANCIAL CORP","Equity","0.23","50.66","77,073.00","3,904,518.18","3,904,518.18","Financials","2299011","US2692464017","NASDAQ"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.23","109.41","35,636.00","3,898,934.76","3,898,934.76","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"UDR","UDR REIT INC","Equity","0.23","44.95","86,245.00","3,876,712.75","3,876,712.75","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"VNO","VORNADO REALTY TRUST REIT","Equity","0.22","69.14","54,255.00","3,751,190.70","3,751,190.70","Real Estate","2933632","US9290421091","New York Stock Exchange Inc."
"ALLY","ALLY FINANCIAL INC","Equity","0.22","29.71","126,005.00","3,743,608.55","3,743,608.55","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
"RJF","RAYMOND JAMES INC","Equity","0.21","91.57","39,700.00","3,635,329.00","3,635,329.00","Financials","2718992","US7547301090","New York Stock Exchange Inc."
"CBOE","CBOE GLOBAL MARKETS INC","Equity","0.21","101.61","35,110.00","3,567,527.10","3,567,527.10","Financials","B5834C5","US12503M1080","Cboe BZX formerly known as BATS"
"REG","REGENCY CENTERS REIT CORP","Equity","0.21","67.17","52,419.00","3,520,984.23","3,520,984.23","Real Estate","2726177","US7588491032","NASDAQ"
"DRE","DUKE REALTY REIT CORP","Equity","0.21","31.12","112,411.00","3,498,230.32","3,498,230.32","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.21","39.95","87,407.00","3,491,909.65","3,491,909.65","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
"NDAQ","NASDAQ INC","Equity","0.20","92.20","36,204.00","3,338,008.80","3,338,008.80","Financials","2965107","US6311031081","NASDAQ"
"SUI","SUN COMMUNITIES REIT INC","Equity","0.20","123.08","27,030.00","3,326,852.40","3,326,852.40","Real Estate","2860257","US8666741041","New York Stock Exchange Inc."
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.19","275.87","11,896.00","3,281,749.52","3,281,749.52","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","Equity","0.19","116.70","28,115.00","3,281,020.50","3,281,020.50","Real Estate","2563125","US29472R1086","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.19","278.33","11,774.00","3,277,057.42","3,277,057.42","Financials","B03Q9D0","US57060D1081","NASDAQ"
"BEN","FRANKLIN RESOURCES INC","Equity","0.19","34.59","92,703.00","3,206,596.77","3,206,596.77","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.19","151.51","20,751.00","3,143,984.01","3,143,984.01","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.18","133.85","23,270.00","3,114,689.50","3,114,689.50","Real Estate","2333931","US3137472060","New York Stock Exchange Inc."
"ZION","ZIONS BANCORPORATION","Equity","0.18","49.33","63,068.00","3,111,144.44","3,111,144.44","Financials","2989828","US9897011071","NASDAQ"
"CPT","CAMDEN PROPERTY TRUST REIT","Equity","0.18","100.65","30,232.00","3,042,850.80","3,042,850.80","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.18","235.50","12,722.00","2,996,031.00","2,996,031.00","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"AGNC","AGNC INVESTMENT REIT CORP","Equity","0.18","17.79","167,716.00","2,983,667.64","2,983,667.64","Financials","BYYHJL8","US00123Q1040","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.18","656.88","4,517.00","2,967,126.96","2,967,126.96","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.17","61.30","47,766.00","2,928,055.80","2,928,055.80","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"IRM","IRON MOUNTAIN INC","Equity","0.17","32.48","89,568.00","2,909,168.64","2,909,168.64","Real Estate","BVFTF03","US46284V1017","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","0.16","87.66","31,702.00","2,778,997.32","2,778,997.32","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"IVZ","INVESCO LTD","Equity","0.16","21.97","124,024.00","2,724,807.28","2,724,807.28","Financials","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.16","52.62","50,501.00","2,657,362.62","2,657,362.62","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"INVH","INVITATION HOMES INC","Equity","0.16","24.86","105,852.00","2,631,480.72","2,631,480.72","Real Estate","BD81GW9","US46187W1071","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","0.15","54.89","47,161.00","2,588,667.29","2,588,667.29","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"VICI","VICI PPTYS INC","Equity","0.15","22.80","112,582.00","2,566,869.60","2,566,869.60","Real Estate","BYWH073","US9256521090","New York Stock Exchange Inc."
"GLPI","GAMING AND LEISURE PROPERTIES REIT","Equity","0.15","40.38","62,998.00","2,543,859.24","2,543,859.24","Real Estate","BFPK4S5","US36467J1088","NASDAQ"
"VER","VEREIT INC","Equity","0.15","8.26","302,282.00","2,496,849.32","2,496,849.32","Real Estate","BYVVTJ1","US92339V1008","New York Stock Exchange Inc."
"UNM","UNUM","Equity","0.15","36.92","67,161.00","2,479,584.12","2,479,584.12","Financials","2433842","US91529Y1064","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.15","51.48","47,983.00","2,470,164.84","2,470,164.84","Financials","2487407","US27579R1041","NASDAQ"
"KRC","KILROY REALTY REIT CORP","Equity","0.14","76.91","31,532.00","2,425,126.12","2,425,126.12","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.14","103.53","23,309.00","2,413,180.77","2,413,180.77","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"AIV","APARTMENT INVESTMENT AND MANAGEMEN","Equity","0.14","49.36","47,226.00","2,331,075.36","2,331,075.36","Real Estate","BJLNBG3","US03748R7540","New York Stock Exchange Inc."
"SLG","SL GREEN REALTY REIT CORP","Equity","0.14","88.34","26,131.00","2,308,412.54","2,308,412.54","Real Estate","2096847","US78440X1019","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.14","31.75","72,656.00","2,306,828.00","2,306,828.00","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.14","49.64","46,215.00","2,294,112.60","2,294,112.60","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"KIM","KIMCO REALTY REIT CORP","Equity","0.14","17.39","131,676.00","2,289,845.64","2,289,845.64","Real Estate","2491594","US49446R1095","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.13","132.07","17,204.00","2,272,132.28","2,272,132.28","Financials","B00JQL9","US82669G1040","NASDAQ"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.13","35.39","63,762.00","2,256,537.18","2,256,537.18","Real Estate","2043274","US6819361006","New York Stock Exchange Inc."
"JLL","JONES LANG LASALLE INC","Equity","0.13","154.57","14,253.00","2,203,086.21","2,203,086.21","Real Estate","2040640","US48020Q1076","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.13","54.45","40,407.00","2,200,161.15","2,200,161.15","Financials","2793610","US7841171033","NASDAQ"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.13","82.67","26,608.00","2,199,683.36","2,199,683.36","Real Estate","BSPHGN6","US5128161099","NASDAQ"
"PBCT","PEOPLES UNITED FINANCIAL INC","Equity","0.13","17.29","125,450.00","2,169,030.50","2,169,030.50","Financials","B1W41J2","US7127041058","NASDAQ"
"NRZ","NEW RESIDENTIAL INVESTMENT REIT CO","Equity","0.13","16.81","127,714.00","2,146,872.34","2,146,872.34","Financials","BRJ9GW0","US64828T2015","New York Stock Exchange Inc."
"CFR","CULLEN FROST BANKERS INC","Equity","0.12","101.69","20,685.00","2,103,457.65","2,103,457.65","Financials","2239556","US2298991090","New York Stock Exchange Inc."
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.12","57.06","36,827.00","2,101,348.62","2,101,348.62","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"DEI","DOUGLAS EMMETT REIT INC","Equity","0.12","41.19","50,434.00","2,077,376.46","2,077,376.46","Real Estate","B1G3M58","US25960P1093","New York Stock Exchange Inc."
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Equity","0.12","17.46","118,941.00","2,076,709.86","2,076,709.86","Real Estate","B0JL5L9","US58463J3041","New York Stock Exchange Inc."
"STOR","STORE CAPITAL CORP","Equity","0.12","33.32","61,510.00","2,049,513.20","2,049,513.20","Real Estate","BSKRKJ5","US8621211007","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.12","155.36","13,158.00","2,044,226.88","2,044,226.88","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"ACC","AMERICAN CAMPUS COMMUNITIES REIT I","Equity","0.12","47.20","42,911.00","2,025,399.20","2,025,399.20","Real Estate","B02H871","US0248351001","New York Stock Exchange Inc."
"PK","PARK HOTELS RESORTS INC","Equity","0.12","32.08","62,752.00","2,013,084.16","2,013,084.16","Real Estate","BYVMVV0","US7005171050","New York Stock Exchange Inc."
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Equity","0.12","22.36","88,987.00","1,989,749.32","1,989,749.32","Financials","2659109","US6802231042","New York Stock Exchange Inc."
"STWD","STARWOOD PROPERTY TRUST REIT INC","Equity","0.12","23.05","86,216.00","1,987,278.80","1,987,278.80","Financials","B3PQ520","US85571B1052","New York Stock Exchange Inc."
"LPLA","LPL FINANCIAL HOLDINGS INC","Equity","0.12","74.09","26,526.00","1,965,311.34","1,965,311.34","Financials","B75JX34","US50212V1008","NASDAQ"
"AMH","AMERICAN HOMES RENT REIT CLASS A","Equity","0.11","23.98","80,971.00","1,941,684.58","1,941,684.58","Real Estate","BCF5RR9","US02665T3068","New York Stock Exchange Inc."
