iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Dec 29, 2017"
Total Net Assets,"1,944,425,230.52"
Shares Outstanding,"16,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.18","132.81","26,685.00","3,544,034.85","3,544,034.85","Real Estate","2333931","US3137472060","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.18","71.86","48,165.00","3,461,136.90","3,461,136.90","Financials","2793610","US7841171033","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.18","596.09","5,724.00","3,412,019.16","3,412,019.16","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.17","221.26","15,114.00","3,344,123.64","3,344,123.64","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"XL","XL GROUP LTD","Equity","0.17","35.16","94,157.00","3,310,560.12","3,310,560.12","Financials","BD95VZ8","BMG982941046","New York Stock Exchange Inc."
"NDAQ","NASDAQ INC","Equity","0.17","76.83","42,818.00","3,289,706.94","3,289,706.94","Financials","2965107","US6311031081","NASDAQ"
"VOYA","VOYA FINANCIAL INC","Equity","0.17","49.47","66,124.00","3,271,154.28","3,271,154.28","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.17","60.83","53,127.00","3,231,715.41","3,231,715.41","Financials","2487407","US27579R1041","NASDAQ"
"WU","WESTERN UNION","Equity","0.17","19.01","169,008.00","3,212,842.08","3,212,842.08","Information Technology","B1F76F9","US9598021098","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.16","92.06","34,064.00","3,135,931.84","3,135,931.84","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"AGNC","AGNC INVESTMENT REIT CORP","Equity","0.15","20.19","143,810.00","2,903,523.90","2,903,523.90","Financials","BYYHJL8","US00123Q1040","NASDAQ"
"USD","USD CASH","Cash","0.15","100.00","2,885,919.00","2,885,919.14","2,885,919.14","Cash and/or Derivatives","-","-","-"
